,Phone Name,Link
0,"REDMI 10 Power (Power Black, 128 GB)",https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm17561f2c0c6b6?pid=MOBGSYMFPHKSJTWH&lid=LSTMOBGSYMFPHKSJTWHIIDRMK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGSYMFPHKSJTWH.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
1,"Xiaomi 14 CIVI (Matcha Green, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSAI0RN2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
2,"Redmi 7A (Matte Black, 32 GB)",https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
3,"Xiaomi 14 CIVI (Shadow Black, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-shadow-black-512-gb/p/itm23d1de67ebc77?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBHFGU75KAEJQGN.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
4,"Xiaomi 14 CIVI (Cruise Blue, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVBSUPQH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBHFGU7WVYJPNEV.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
5,"Xiaomi 14 (Black, 512 GB)",https://www.flipkart.com/xiaomi-14-black-512-gb/p/itm9199c6406170d?pid=MOBGYGCM6WBYMZRH&lid=LSTMOBGYGCM6WBYMZRHJI0E5Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGYGCM6WBYMZRH.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
6,"Xiaomi 14 (White, 512 GB)",https://www.flipkart.com/xiaomi-14-white-512-gb/p/itma16b2232a226f?pid=MOBGYGCMMSNJUZJE&lid=LSTMOBGYGCMMSNJUZJEHI24XU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGYGCMMSNJUZJE.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
7,"Xiaomi 14 CIVI (Cruise Blue, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-cruise-blue-512-gb/p/itm21456ebc14d31?pid=MOBHFGU7P4NPRCCR&lid=LSTMOBHFGU7P4NPRCCRAEDANA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBHFGU7P4NPRCCR.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
8,"Mi 11 Lite (Jazz Blue, 128 GB)",https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itme2c379bf49448?pid=MOBG3VSKEVZ3JQVM&lid=LSTMOBG3VSKEVZ3JQVMEAH3XH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBG3VSKEVZ3JQVM.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
9,"Xiaomi 14 (Jade Green, 512 GB)",https://www.flipkart.com/xiaomi-14-jade-green-512-gb/p/itm617acb7cd715d?pid=MOBGYGCMYEJTGEPF&lid=LSTMOBGYGCMYEJTGEPFUFDBXT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGYGCMYEJTGEPF.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
